suburb,postcode,primary_postcode_sales_rows,suburb_total_sales_rows,primary_postcode_share
PORT MACQUARIE,2444,182,182,1.0
ORANGE,2800,172,172,1.0
PARRAMATTA,2150,125,125,1.0
BLACKTOWN,2148,119,119,1.0
DUBBO,2830,114,114,1.0
LIVERPOOL,2170,106,106,1.0
COFFS HARBOUR,2450,105,105,1.0
GOULBURN,2580,105,105,1.0
CASTLE HILL,2154,103,103,1.0
RYDE,2112,103,103,1.0
ARMIDALE,2350,100,100,1.0
CRONULLA,2230,94,94,1.0
BAULKHAM HILLS,2153,89,89,1.0
MOSMAN,2088,87,87,1.0
MACQUARIE PARK,2113,86,86,1.0
BROKEN HILL,2880,85,85,1.0
BOX HILL,2765,84,84,1.0
PENRITH,2750,80,80,1.0
CARLINGFORD,2118,79,79,1.0
EPPING,2121,79,79,1.0
HURSTVILLE,2220,77,77,1.0
CARINGBAH,2229,76,76,1.0
WOLLONGONG,2500,76,76,1.0
MAROUBRA,2035,74,74,1.0
MASCOT,2020,72,72,1.0
SYDNEY,2000,72,72,1.0
MARSDEN PARK,2765,71,71,1.0
MERRYLANDS,2160,70,70,1.0
ROUSE HILL,2155,70,70,1.0
CAMPBELLTOWN,2560,69,69,1.0
MANLY,2095,69,69,1.0
RANDWICK,2031,69,69,1.0
WILLOUGHBY,2068,69,69,1.0
AUSTRAL,2179,68,68,1.0
LIDCOMBE,2141,68,68,1.0
BANKSTOWN,2200,67,67,1.0
SCHOFIELDS,2762,67,67,1.0
DEE WHY,2099,65,65,1.0
QUAKERS HILL,2763,65,65,1.0
MUSWELLBROOK,2333,64,64,1.0
AUBURN,2144,63,63,1.0
STRATHFIELD,2135,61,61,1.0
ASHFIELD,2131,60,60,1.0
MIRANDA,2228,60,60,1.0
SURRY HILLS,2010,60,60,1.0
INVERELL,2360,58,58,1.0
ST IVES,2075,58,58,1.0
FORSTER,2428,57,57,1.0
LAVINGTON,2641,57,57,1.0
MUDGEE,2850,57,57,1.0
WAHROONGA,2076,57,57,1.0
ORAN PARK,2570,56,56,1.0
WENTWORTH POINT,2127,56,56,1.0
CAMPSIE,2194,55,55,1.0
CHATSWOOD,2067,55,55,1.0
TAREE,2430,55,55,1.0
COOGEE,2034,54,54,1.0
GRIFFITH,2680,54,54,1.0
ROCKDALE,2216,54,54,1.0
BOWRAL,2576,53,53,1.0
CARINGBAH SOUTH,2229,53,53,1.0
ZETLAND,2017,53,53,1.0
ERSKINEVILLE,2043,52,52,1.0
NORTH KELLYVILLE,2155,52,52,1.0
TWEED HEADS,2485,52,52,1.0
ALEXANDRIA,2015,51,51,1.0
KELLYVILLE,2155,51,51,1.0
WENTWORTHVILLE,2145,51,51,1.0
CABRAMATTA,2166,50,50,1.0
GUILDFORD,2161,50,50,1.0
ROSEBERY,2018,50,50,1.0
WALLSEND,2287,50,50,1.0
EASTWOOD,2122,48,48,1.0
GREYSTANES,2145,48,48,1.0
POTTS POINT,2011,48,48,1.0
WATERLOO,2017,48,48,1.0
BURWOOD,2134,47,47,1.0
NORTH SYDNEY,2060,47,47,1.0
TOONGABBIE,2146,46,46,1.0
GLENMORE PARK,2745,45,45,1.0
LANE COVE,2066,45,45,1.0
TERRIGAL,2260,45,45,1.0
UMINA BEACH,2257,45,45,1.0
BANORA POINT,2486,44,44,1.0
CHARLESTOWN,2290,44,44,1.0
GOSFORD,2250,44,44,1.0
INGLEBURN,2565,44,44,1.0
KIRRAWEE,2232,44,44,1.0
RHODES,2138,44,44,1.0
DARLINGHURST,2010,43,43,1.0
EASTGARDENS,2036,43,43,1.0
MOAMA,2731,43,43,1.0
BONDI BEACH,2026,42,42,1.0
CESSNOCK,2325,42,42,1.0
CREMORNE,2090,42,42,1.0
MARRICKVILLE,2204,42,42,1.0
MELONBA,2765,42,42,1.0
ST MARYS,2760,42,42,1.0
SUTHERLAND,2232,42,42,1.0
LEICHHARDT,2040,41,41,1.0
ROSEVILLE,2069,41,41,1.0
RUTHERFORD,2320,41,41,1.0
ST LEONARDS,2065,41,41,1.0
NEWTOWN,2042,40,40,1.0
SYLVANIA,2224,40,40,1.0
BERKELEY VALE,2261,39,39,1.0
HORNSBY,2077,39,39,1.0
LINDFIELD,2070,39,39,1.0
SANCTUARY POINT,2540,39,39,1.0
WEST PENNANT HILLS,2125,39,39,1.0
WESTMEAD,2145,39,39,1.0
KINGSCLIFF,2487,38,38,1.0
MOSS VALE,2577,38,38,1.0
PADDINGTON,2021,38,38,1.0
PUNCHBOWL,2196,38,38,1.0
BELLEVUE HILL,2023,37,37,1.0
DOUBLE BAY,2028,37,37,1.0
FAIRFIELD,2165,37,37,1.0
GRANVILLE,2142,37,37,1.0
NELSON BAY,2315,37,37,1.0
SEVEN HILLS,2147,37,37,1.0
TAHMOOR,2573,37,37,1.0
VAUCLUSE,2030,37,37,1.0
BOTANY,2019,36,36,1.0
CASULA,2170,36,36,1.0
COWRA,2794,36,36,1.0
ENGADINE,2233,36,36,1.0
GOOGONG,2620,36,36,1.0
KOGARAH,2217,36,36,1.0
LAKEMBA,2195,36,36,1.0
MOREE,2400,36,36,1.0
RAYMOND TERRACE,2324,36,36,1.0
MOUNT DRUITT,2770,35,35,1.0
REVESBY,2212,35,35,1.0
ALBION PARK,2527,34,34,1.0
CAMMERAY,2062,34,34,1.0
CRANEBROOK,2749,34,34,1.0
EAST MAITLAND,2323,34,34,1.0
GOONELLABAH,2480,34,34,1.0
LANE COVE NORTH,2066,34,34,1.0
LEPPINGTON,2179,34,34,1.0
PADSTOW,2211,34,34,1.0
THURGOONA,2640,34,34,1.0
WOOLOOWARE,2230,34,34,1.0
CONDELL PARK,2200,33,33,1.0
GLADESVILLE,2111,33,33,1.0
GORDON,2072,33,33,1.0
GOROKAN,2263,33,33,1.0
GREENACRE,2190,33,33,1.0
MOOREBANK,2170,33,33,1.0
NORTHMEAD,2152,33,33,1.0
CHESTER HILL,2162,32,32,1.0
DRUMMOYNE,2047,32,32,1.0
HOMEBUSH,2140,32,32,1.0
PARKES,2870,32,32,1.0
SANS SOUCI,2219,32,32,1.0
ST CLAIR,2759,32,32,1.0
YAMBA,2464,32,32,1.0
BONDI,2026,31,31,1.0
FORBES,2871,31,31,1.0
KATOOMBA,2780,31,31,1.0
NEWCASTLE WEST,2302,31,31,1.0
PYRMONT,2009,31,31,1.0
ROSE BAY,2029,31,31,1.0
THE ENTRANCE,2261,31,31,1.0
WAGGA WAGGA,2650,31,31,1.0
WEST RYDE,2114,31,31,1.0
WOLLI CREEK,2205,31,31,1.0
BATEAU BAY,2261,30,30,1.0
BELROSE,2085,30,30,1.0
CAMPERDOWN,2050,30,30,1.0
CASINO,2470,30,30,1.0
GUNNEDAH,2380,30,30,1.0
KILLARA,2071,30,30,1.0
MEDOWIE,2318,30,30,1.0
PETERSHAM,2049,30,30,1.0
REDFERN,2016,30,30,1.0
RIVERSTONE,2765,30,30,1.0
SOUTH PENRITH,2750,30,30,1.0
TALLAWONG,2762,30,30,1.0
THORNTON,2322,30,30,1.0
ULTIMO,2007,30,30,1.0
YAGOONA,2199,30,30,1.0
BALGOWLAH,2093,29,29,1.0
BALMAIN,2041,29,29,1.0
BELMORE,2192,29,29,1.0
NORTH ROTHBURY,2335,29,29,1.0
OATLEY,2223,29,29,1.0
OLD BAR,2430,29,29,1.0
PYMBLE,2073,29,29,1.0
WOY WOY,2256,29,29,1.0
WYOMING,2250,29,29,1.0
YASS,2582,29,29,1.0
AVALON BEACH,2107,28,28,1.0
COORANBONG,2265,28,28,1.0
FAIRY MEADOW,2519,28,28,1.0
GLEN INNES,2370,28,28,1.0
KELSO,2795,28,28,1.0
MONA VALE,2103,28,28,1.0
MOUNT ANNAN,2567,28,28,1.0
NARRABEEN,2101,28,28,1.0
NEW LAMBTON,2305,28,28,1.0
NEWCASTLE,2300,28,28,1.0
NORTH PARRAMATTA,2151,28,28,1.0
PENSHURST,2222,28,28,1.0
ROOTY HILL,2766,28,28,1.0
WAUCHOPE,2446,28,28,1.0
WOLLSTONECRAFT,2065,28,28,1.0
WOONONA,2517,28,28,1.0
BALLINA,2478,27,27,1.0
BONDI JUNCTION,2022,27,27,1.0
BOSSLEY PARK,2176,27,27,1.0
CHERRYBROOK,2126,27,27,1.0
CHISHOLM,2322,27,27,1.0
CORRIMAL,2518,27,27,1.0
DENILIQUIN,2710,27,27,1.0
EAST ALBURY,2640,27,27,1.0
EDMONDSON PARK,2174,27,27,1.0
LENNOX HEAD,2478,27,27,1.0
MARSFIELD,2122,27,27,1.0
SPRING FARM,2570,27,27,1.0
TURRAMURRA,2074,27,27,1.0
WILTON,2571,27,27,1.0
YOUNG,2594,27,27,1.0
BATHURST,2795,26,26,1.0
BOAMBEE EAST,2452,26,26,1.0
DULWICH HILL,2203,26,26,1.0
GEORGES HALL,2198,26,26,1.0
GYMEA,2227,26,26,1.0
HAMLYN TERRACE,2259,26,26,1.0
KIAMA,2533,26,26,1.0
KOORINGAL,2650,26,26,1.0
LEURA,2780,26,26,1.0
LITHGOW,2790,26,26,1.0
MENAI,2234,26,26,1.0
MEREWETHER,2291,26,26,1.0
NORTH RYDE,2113,26,26,1.0
OAK FLATS,2529,26,26,1.0
PEAKHURST,2210,26,26,1.0
ROSELANDS,2196,26,26,1.0
SMITHFIELD,2164,26,26,1.0
STANMORE,2048,26,26,1.0
ARNCLIFFE,2205,25,25,1.0
ARTARMON,2064,25,25,1.0
COLLAROY,2097,25,25,1.0
CONCORD,2137,25,25,1.0
GABLES,2765,25,25,1.0
GLEBE,2037,25,25,1.0
GLENFIELD PARK,2650,25,25,1.0
GRAFTON,2460,25,25,1.0
GREEN VALLEY,2168,25,25,1.0
HOMEBUSH WEST,2140,25,25,1.0
MINTO,2566,25,25,1.0
MORTDALE,2223,25,25,1.0
NEUTRAL BAY,2089,25,25,1.0
NEWPORT,2106,25,25,1.0
NORTH TAMWORTH,2340,25,25,1.0
THIRLMERE,2572,25,25,1.0
THORNLEIGH,2120,25,25,1.0
THRUMSTER,2444,25,25,1.0
WARWICK FARM,2170,25,25,1.0
WINSTON HILLS,2153,25,25,1.0
BLACKHEATH,2785,24,24,1.0
CALALA,2340,24,24,1.0
COOMA,2630,24,24,1.0
COOTAMUNDRA,2590,24,24,1.0
EARLWOOD,2206,24,24,1.0
ERMINGTON,2115,24,24,1.0
FORESTVILLE,2087,24,24,1.0
KENSINGTON,2033,24,24,1.0
LEUMEAH,2560,24,24,1.0
MURWILLUMBAH,2484,24,24,1.0
NAMBUCCA HEADS,2448,24,24,1.0
SYDNEY OLYMPIC PARK,2127,24,24,1.0
WARNERS BAY,2282,24,24,1.0
BELLBIRD,2325,23,23,1.0
BEXLEY,2207,23,23,1.0
BRADBURY,2560,23,23,1.0
CANTERBURY,2193,23,23,1.0
CHIPPING NORTON,2170,23,23,1.0
DARLING POINT,2027,23,23,1.0
ELIZABETH BAY,2011,23,23,1.0
HUNTERS HILL,2110,23,23,1.0
NORTH BONDI,2026,23,23,1.0
THIRROUL,2515,23,23,1.0
WEST KEMPSEY,2440,23,23,1.0
WOOLLAHRA,2025,23,23,1.0
ABERGLASSLYN,2320,22,22,1.0
ALBION PARK RAIL,2527,22,22,1.0
BEECROFT,2119,22,22,1.0
CARLTON,2218,22,22,1.0
CRESTWOOD,2620,22,22,1.0
EASTLAKES,2018,22,22,1.0
JORDAN SPRINGS,2747,22,22,1.0
MACQUARIE FIELDS,2564,22,22,1.0
NARARA,2250,22,22,1.0
NOWRA,2541,22,22,1.0
ROZELLE,2039,22,22,1.0
ULLADULLA,2539,22,22,1.0
ANNANDALE,2038,21,21,1.0
BYRON BAY,2481,21,21,1.0
CAMERON PARK,2285,21,21,1.0
CROYDON PARK,2133,21,21,1.0
DENHAM COURT,2565,21,21,1.0
EAST GOSFORD,2250,21,21,1.0
ELERMORE VALE,2287,21,21,1.0
FRESHWATER,2096,21,21,1.0
GLENWOOD,2768,21,21,1.0
GREGORY HILLS,2557,21,21,1.0
HARRINGTON PARK,2567,21,21,1.0
KINGSGROVE,2208,21,21,1.0
LAKE CATHIE,2445,21,21,1.0
MANLY VALE,2093,21,21,1.0
MARYLAND,2287,21,21,1.0
MEADOWBANK,2114,21,21,1.0
PANANIA,2213,21,21,1.0
QUEANBEYAN EAST,2620,21,21,1.0
TOUKLEY,2263,21,21,1.0
WEST BATHURST,2795,21,21,1.0
BLIGH PARK,2756,20,20,1.0
BRIGHTON-LE-SANDS,2216,20,20,1.0
CULBURRA BEACH,2540,20,20,1.0
EAST TAMWORTH,2340,20,20,1.0
EDGEWORTH,2285,20,20,1.0
FAIRLIGHT,2094,20,20,1.0
FRENCHS FOREST,2086,20,20,1.0
LOCHINVAR,2321,20,20,1.0
MITTAGONG,2575,20,20,1.0
MOUNT PRITCHARD,2170,20,20,1.0
NORTH STRATHFIELD,2137,20,20,1.0
OCEAN SHORES,2483,20,20,1.0
RICHMOND,2753,20,20,1.0
SALAMANDER BAY,2317,20,20,1.0
SOUTH TAMWORTH,2340,20,20,1.0
ST GEORGES BASIN,2540,20,20,1.0
THE HILL,2300,20,20,1.0
TUMUT,2720,20,20,1.0
WOLLONGBAR,2477,20,20,1.0
ALSTONVILLE,2477,19,19,1.0
BELMONT,2280,19,19,1.0
BLAXLAND,2774,19,19,1.0
BOMADERRY,2541,19,19,1.0
CANLEY VALE,2166,19,19,1.0
CASUARINA,2487,19,19,1.0
CHIPPENDALE,2008,19,19,1.0
EAST LISMORE,2480,19,19,1.0
FIGTREE,2525,19,19,1.0
GLENFIELD,2167,19,19,1.0
JANNALI,2226,19,19,1.0
LEETON,2705,19,19,1.0
NORTH RICHMOND,2754,19,19,1.0
NORTHBRIDGE,2063,19,19,1.0
NORWEST,2153,19,19,1.0
SHELL COVE,2529,19,19,1.0
SPRINGWOOD,2777,19,19,1.0
TWEED HEADS SOUTH,2486,19,19,1.0
WADALBA,2259,19,19,1.0
WAITARA,2077,19,19,1.0
ALBURY,2640,18,18,1.0
BEVERLY HILLS,2209,18,18,1.0
BUNGENDORE,2621,18,18,1.0
COROWA,2646,18,18,1.0
DAPTO,2530,18,18,1.0
DOONSIDE,2767,18,18,1.0
EDGECLIFF,2027,18,18,1.0
FIVE DOCK,2046,18,18,1.0
HABERFIELD,2045,18,18,1.0
HARRIS PARK,2150,18,18,1.0
HAYMARKET,2000,18,18,1.0
HILLVUE,2340,18,18,1.0
KARABAR,2620,18,18,1.0
KELLYVILLE RIDGE,2155,18,18,1.0
KINGSFORD,2032,18,18,1.0
MERIMBULA,2548,18,18,1.0
MORISSET,2264,18,18,1.0
MOUNT COLAH,2079,18,18,1.0
NARRABRI,2390,18,18,1.0
NARRANDERA,2700,18,18,1.0
NORTH ROCKS,2151,18,18,1.0
PLUMPTON,2761,18,18,1.0
PRESTONS,2170,18,18,1.0
SILVERDALE,2752,18,18,1.0
SOUTH WEST ROCKS,2431,18,18,1.0
SOUTH WINDSOR,2756,18,18,1.0
TENTERFIELD,2372,18,18,1.0
WAMBERAL,2260,18,18,1.0
WATTLE GROVE,2173,18,18,1.0
WEST GOSFORD,2250,18,18,1.0
WINGHAM,2429,18,18,1.0
ASQUITH,2077,17,17,1.0
BELLA VISTA,2153,17,17,1.0
CAMBRIDGE PARK,2747,17,17,1.0
ENMORE,2042,17,17,1.0
GREENWICH,2065,17,17,1.0
GWANDALAN,2259,17,17,1.0
KANAHOOKA,2530,17,17,1.0
KILLARNEY VALE,2261,17,17,1.0
KINCUMBER,2251,17,17,1.0
KURRI KURRI,2327,17,17,1.0
LAKE ALBERT,2650,17,17,1.0
LAKE HEIGHTS,2502,17,17,1.0
LILYFIELD,2040,17,17,1.0
LISMORE,2480,17,17,1.0
LONG JETTY,2261,17,17,1.0
LURNEA,2170,17,17,1.0
QUEANBEYAN,2620,17,17,1.0
SAWTELL,2452,17,17,1.0
SUMMERLAND POINT,2259,17,17,1.0
SWANSEA,2281,17,17,1.0
URUNGA,2455,17,17,1.0
WARATAH,2298,17,17,1.0
WEST WOLLONGONG,2500,17,17,1.0
BARGO,2574,16,16,1.0
BELFIELD,2191,16,16,1.0
BERKELEY,2506,16,16,1.0
BONNELLS BAY,2264,16,16,1.0
CAMDEN SOUTH,2570,16,16,1.0
COLYTON,2760,16,16,1.0
CONCORD WEST,2138,16,16,1.0
DURAL,2158,16,16,1.0
FAIRFIELD WEST,2165,16,16,1.0
FLETCHER,2287,16,16,1.0
GLENHAVEN,2156,16,16,1.0
GOBBAGOMBALIN,2650,16,16,1.0
HAMILTON,2303,16,16,1.0
ILLAWONG,2234,16,16,1.0
LAMBTON,2299,16,16,1.0
LEMON TREE PASSAGE,2319,16,16,1.0
MATRAVILLE,2036,16,16,1.0
MERRYLANDS WEST,2160,16,16,1.0
POTTSVILLE,2489,16,16,1.0
SINGLETON,2330,16,16,1.0
THE PONDS,2769,16,16,1.0
TORONTO,2283,16,16,1.0
TULLIMBAR,2527,16,16,1.0
VALENTINE,2280,16,16,1.0
WOOLLOOMOOLOO,2011,16,16,1.0
ABBOTSFORD,2046,15,15,1.0
CARDIFF,2285,15,15,1.0
COBBITTY,2570,15,15,1.0
CORLETTE,2315,15,15,1.0
ETTALONG BEACH,2257,15,15,1.0
GLENBROOK,2773,15,15,1.0
HARRINGTON,2427,15,15,1.0
HEDDON GRETA,2321,15,15,1.0
HELENSBURGH,2508,15,15,1.0
MENANGLE PARK,2563,15,15,1.0
MILSONS POINT,2061,15,15,1.0
NORTH NOWRA,2541,15,15,1.0
OXLEY PARK,2760,15,15,1.0
SCONE,2337,15,15,1.0
SINGLETON HEIGHTS,2330,15,15,1.0
TEMORA,2666,15,15,1.0
TUROSS HEAD,2537,15,15,1.0
TWEED HEADS WEST,2485,15,15,1.0
WARRIEWOOD,2102,15,15,1.0
WELLINGTON,2820,15,15,1.0
WERRINGTON,2747,15,15,1.0
WILEY PARK,2195,15,15,1.0
BADAGARANG,2540,14,14,1.0
BAROOGA,3644,14,14,1.0
BASS HILL,2197,14,14,1.0
BILGOLA PLATEAU,2107,14,14,1.0
BLAKEHURST,2221,14,14,1.0
BLUE HAVEN,2262,14,14,1.0
BROOKVALE,2100,14,14,1.0
BULLI,2516,14,14,1.0
CHIFLEY,2036,14,14,1.0
CROYDON,2132,14,14,1.0
EMU PLAINS,2750,14,14,1.0
GEORGETOWN,2298,14,14,1.0
GLOUCESTER,2422,14,14,1.0
GRANTHAM FARM,2765,14,14,1.0
HILLSDALE,2036,14,14,1.0
HUNTERVIEW,2330,14,14,1.0
JAMISONTOWN,2750,14,14,1.0
JUNEE,2663,14,14,1.0
KORORA,2450,14,14,1.0
LISAROW,2250,14,14,1.0
LUGARNO,2210,14,14,1.0
MOUNT AUSTIN,2650,14,14,1.0
MULLUMBIMBY,2482,14,14,1.0
NARROMINE,2821,14,14,1.0
OATLANDS,2117,14,14,1.0
PENNANT HILLS,2120,14,14,1.0
PICNIC POINT,2213,14,14,1.0
POINT FREDERICK,2250,14,14,1.0
PUTNEY,2112,14,14,1.0
SOUTH GRAFTON,2460,14,14,1.0
ST PETERS,2044,14,14,1.0
STRATHFIELD SOUTH,2136,14,14,1.0
SUSSEX INLET,2540,14,14,1.0
TOORMINA,2452,14,14,1.0
VINCENTIA,2540,14,14,1.0
WARILLA,2528,14,14,1.0
WESTDALE,2340,14,14,1.0
WINDRADYNE,2795,14,14,1.0
WOONGARRAH,2259,14,14,1.0
YOWIE BAY,2228,14,14,1.0
ADAMSTOWN,2289,13,13,1.0
ADAMSTOWN HEIGHTS,2289,13,13,1.0
ASHMONT,2650,13,13,1.0
ASHTONFIELD,2323,13,13,1.0
AVOCA BEACH,2251,13,13,1.0
BREAKFAST POINT,2137,13,13,1.0
CADDENS,2747,13,13,1.0
CALDERWOOD,2527,13,13,1.0
CECIL HILLS,2171,13,13,1.0
COLLAROY PLATEAU,2097,13,13,1.0
CROWS NEST,2065,13,13,1.0
DOLLS POINT,2219,13,13,1.0
GERRINGONG,2534,13,13,1.0
GIRRAWEEN,2145,13,13,1.0
HOWLONG,2643,13,13,1.0
JERRABOMBERRA,2619,13,13,1.0
JINDABYNE,2627,13,13,1.0
LITTLE BAY,2036,13,13,1.0
MACLEAN,2463,13,13,1.0
MCMAHONS POINT,2060,13,13,1.0
NAREMBURN,2065,13,13,1.0
NORTH ALBURY,2640,13,13,1.0
OBERON,2787,13,13,1.0
OYSTER BAY,2225,13,13,1.0
PENDLE HILL,2145,13,13,1.0
SHELLHARBOUR,2529,13,13,1.0
SOUTH HURSTVILLE,2221,13,13,1.0
SUMMER HILL,2130,13,13,1.0
THE ENTRANCE NORTH,2261,13,13,1.0
TUGGERAH,2259,13,13,1.0
WEST ALBURY,2640,13,13,1.0
WEST PYMBLE,2073,13,13,1.0
WEST TAMWORTH,2340,13,13,1.0
ACACIA GARDENS,2763,12,12,1.0
BEACON HILL,2100,12,12,1.0
BEGA,2550,12,12,1.0
BERALA,2141,12,12,1.0
BERRY,2535,12,12,1.0
BRAIDWOOD,2622,12,12,1.0
CATHERINE FIELD,2557,12,12,1.0
CROOKWELL,2583,12,12,1.0
EAST BALLINA,2478,12,12,1.0
GILLIESTON HEIGHTS,2321,12,12,1.0
GLEDSWOOD HILLS,2557,12,12,1.0
GOL GOL,2738,12,12,1.0
GULGONG,2852,12,12,1.0
HINCHINBROOK,2168,12,12,1.0
HORSLEY,2530,12,12,1.0
ILUKA,2466,12,12,1.0
KINGS LANGLEY,2147,12,12,1.0
LEWISHAM,2049,12,12,1.0
MARAYONG,2148,12,12,1.0
MINCHINBURY,2770,12,12,1.0
MOUNT HUTTON,2290,12,12,1.0
NARELLAN VALE,2567,12,12,1.0
NAROOMA,2546,12,12,1.0
NORTH AVOCA,2260,12,12,1.0
NORTH GOSFORD,2250,12,12,1.0
NORTH NARRABEEN,2101,12,12,1.0
OAKHURST,2761,12,12,1.0
OXLEY VALE,2340,12,12,1.0
PEMULWUY,2145,12,12,1.0
PICTON,2571,12,12,1.0
RIVERWOOD,2210,12,12,1.0
ROSEMEADOW,2560,12,12,1.0
RYDALMERE,2116,12,12,1.0
SAN REMO,2262,12,12,1.0
SEAFORTH,2092,12,12,1.0
SHOAL BAY,2315,12,12,1.0
SHOALHAVEN HEADS,2535,12,12,1.0
SOUTH GRANVILLE,2142,12,12,1.0
ST HELENS PARK,2560,12,12,1.0
SUFFOLK PARK,2481,12,12,1.0
SUNSHINE BAY,2536,12,12,1.0
TELOPEA,2117,12,12,1.0
TURA BEACH,2548,12,12,1.0
UNANDERRA,2526,12,12,1.0
WARATAH WEST,2298,12,12,1.0
WENTWORTH FALLS,2782,12,12,1.0
WESTLEIGH,2120,12,12,1.0
WETHERILL PARK,2164,12,12,1.0
WINMALEE,2777,12,12,1.0
WYONG,2259,12,12,1.0
ALLAWAH,2218,11,11,1.0
BANGALOW,2479,11,11,1.0
BARDIA,2565,11,11,1.0
BOGANGAR,2488,11,11,1.0
BOLWARRA HEIGHTS,2320,11,11,1.0
BONNYRIGG,2177,11,11,1.0
BRUNSWICK HEADS,2483,11,11,1.0
CABRAMATTA WEST,2166,11,11,1.0
CHARMHAVEN,2263,11,11,1.0
CLOVELLY,2031,11,11,1.0
COONABARABRAN,2357,11,11,1.0
COPACABANA,2251,11,11,1.0
CROMER,2099,11,11,1.0
CURRANS HILL,2567,11,11,1.0
EDEN,2551,11,11,1.0
FARMBOROUGH HEIGHTS,2526,11,11,1.0
GRAYS POINT,2232,11,11,1.0
GULMARRAD,2463,11,11,1.0
KEIRAVILLE,2500,11,11,1.0
KINGS PARK,2148,11,11,1.0
LETHBRIDGE PARK,2770,11,11,1.0
LLOYD,2650,11,11,1.0
MANNERING PARK,2259,11,11,1.0
MONTEREY,2217,11,11,1.0
MOORE CREEK,2340,11,11,1.0
MORTLAKE,2137,11,11,1.0
MOUNT WARRIGAL,2528,11,11,1.0
NARWEE,2209,11,11,1.0
NORTH WOLLONGONG,2500,11,11,1.0
PROSPECT,2148,11,11,1.0
ROPES CROSSING,2760,11,11,1.0
ROSEHILL,2142,11,11,1.0
SOUTH LISMORE,2480,11,11,1.0
SOUTH NOWRA,2541,11,11,1.0
ST ANDREWS,2566,11,11,1.0
STANHOPE GARDENS,2768,11,11,1.0
STOCKTON,2295,11,11,1.0
TATTON,2650,11,11,1.0
TEA GARDENS,2324,11,11,1.0
TUNCURRY,2428,11,11,1.0
VINEYARD,2765,11,11,1.0
WEST HOXTON,2171,11,11,1.0
WOOLGOOLGA,2456,11,11,1.0
BARRACK HEIGHTS,2528,10,10,1.0
BATEHAVEN,2536,10,10,1.0
BERESFIELD,2322,10,10,1.0
BILAMBIL HEIGHTS,2486,10,10,1.0
BLACKBUTT,2529,10,10,1.0
BRONTE,2024,10,10,1.0
BUFF POINT,2262,10,10,1.0
BURRADOO,2576,10,10,1.0
BURRANEER,2230,10,10,1.0
CAMDEN,2570,10,10,1.0
COBAR,2835,10,10,1.0
COLEBEE,2761,10,10,1.0
DUNDAS VALLEY,2117,10,10,1.0
EAST KEMPSEY,2440,10,10,1.0
EDENSOR PARK,2176,10,10,1.0
ELDERSLIE,2570,10,10,1.0
ELEEBANA,2282,10,10,1.0
ENFIELD,2136,10,10,1.0
FAIRFIELD HEIGHTS,2165,10,10,1.0
GRENFELL,2810,10,10,1.0
GYMEA BAY,2227,10,10,1.0
HORNSBY HEIGHTS,2077,10,10,1.0
HURLSTONE PARK,2193,10,10,1.0
KENTHURST,2156,10,10,1.0
KOTARA,2289,10,10,1.0
KYOGLE,2474,10,10,1.0
LAKE ILLAWARRA,2528,10,10,1.0
LAKE MUNMORAH,2259,10,10,1.0
MIDDLETON GRANGE,2171,10,10,1.0
MILLERS POINT,2000,10,10,1.0
MILPERRA,2214,10,10,1.0
MOLLYMOOK BEACH,2539,10,10,1.0
MORUYA,2537,10,10,1.0
MULWALA,2647,10,10,1.0
NEW LAMBTON HEIGHTS,2305,10,10,1.0
NORMANHURST,2076,10,10,1.0
PORT KEMBLA,2505,10,10,1.0
QUIRINDI,2343,10,10,1.0
REDHEAD,2290,10,10,1.0
RUSE,2560,10,10,1.0
RUSHCUTTERS BAY,2011,10,10,1.0
SHORTLAND,2307,10,10,1.0
SMITHS LAKE,2428,10,10,1.0
TOCUMWAL,2714,10,10,1.0
TURVEY PARK,2650,10,10,1.0
WAKELEY,2176,10,10,1.0
WANGI WANGI,2267,10,10,1.0
WARNERVALE,2259,10,10,1.0
WEST BALLINA,2478,10,10,1.0
WICKHAM,2293,10,10,1.0
WOODCROFT,2767,10,10,1.0
ABERMAIN,2326,9,9,1.0
APPIN,2560,9,9,1.0
AUSTINMER,2515,9,9,1.0
BALMAIN EAST,2041,9,9,1.0
BARHAM,2732,9,9,1.0
BEAUMONT HILLS,2155,9,9,1.0
BELMONT NORTH,2280,9,9,1.0
BENSVILLE,2251,9,9,1.0
BEROWRA,2081,9,9,1.0
BEROWRA HEIGHTS,2082,9,9,1.0
BOOKER BAY,2257,9,9,1.0
BOOROOMA,2650,9,9,1.0
CATALINA,2536,9,9,1.0
CLAREMONT MEADOWS,2747,9,9,1.0
CLARENCE TOWN,2321,9,9,1.0
CORINDI BEACH,2456,9,9,1.0
DEAN PARK,2761,9,9,1.0
EAST LINDFIELD,2070,9,9,1.0
ESCHOL PARK,2558,9,9,1.0
GILGANDRA,2827,9,9,1.0
GIRARDS HILL,2480,9,9,1.0
GLENDALE,2285,9,9,1.0
HALEKULANI,2262,9,9,1.0
HAZELBROOK,2779,9,9,1.0
HEBERSHAM,2770,9,9,1.0
HOBARTVILLE,2753,9,9,1.0
MARDI,2259,9,9,1.0
MELROSE PARK,2114,9,9,1.0
METFORD,2323,9,9,1.0
MOLLYMOOK,2539,9,9,1.0
MOLONG,2866,9,9,1.0
NARELLAN,2567,9,9,1.0
